Date,CO_Sensor,NMHC_Sensor,Benzene_Sensor,NOx_Sensor,NO2_Sensor,Temp,Humidity
2004-03-10,1360,150,11.9,166,113,13.6,48.9
2004-03-11,1292,112,9.4,103,92,13.3,47.7
2004-03-12,1402,148,9.0,131,114,14.2,43.4
2004-03-13,1376,145,9.2,172,110,11.3,60.0
2004-03-14,1272,131,6.5,131,101,11.2,59.6
2004-03-15,1081,81,4.7,131,81,11.2,59.2
2004-03-16,1185,112,6.4,192,77,11.3,56.8
2004-03-17,1136,134,8.5,145,86,10.2,60.5
2004-03-18,1094,98,4.1,121,77,10.7,59.7
2004-03-19,1010,72,3.3,131,68,10.7,60.2
2004-03-20,1101,112,5.2,145,80,10.3,60.5
2004-03-21,1110,135,6.5,152,82,10.1,61.2
